imie,plec,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
OLAF,M,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,2,,1,4,1,3,3,1,8,6,7,4,6,8,4,8,5,8,5,3,5,13,3
KSAWERY,M,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,2,3,2,1,3,5,6,7,7,15,11,13,10,5
MARIAN,M,66,46,64,47,59,53,42,34,37,32,14,12,14,7,8,10,7,4,3,4,4,2,6,2,1,1,3,1,2,,2,1,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
KACPER,M,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,1,1,1,1,3,2,,4,4,3,8,5,9,7,12,18,18,20,15,21,33,59,61,62,70,106,82,92,103,96,92,62,71,61,69,81,59,49,29
CZESLAW,M,17,21,20,19,21,14,12,14,3,6,5,6,4,3,2,2,1,3,3,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,
BOGUSLAW,M,8,14,16,21,14,15,22,20,12,11,10,9,16,11,11,3,6,8,8,3,3,1,3,2,1,3,1,2,4,1,,,1,1,,1,,1,1,,,,,,,2,,,,,,,,,,,,,,,1,,1,,,2,1
KAZIMIERZ,M,46,48,44,35,35,35,35,30,40,20,20,22,10,14,8,7,4,7,4,1,5,2,2,3,2,1,3,1,,1,,,2,2,,1,,,1,1,,1,1,,,,2,,,,2,,,,,1,,,1,1,1,1,1,,1,6,
MILAN,M,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,2,1,2,5,3,
MAREK,M,51,69,76,81,100,112,114,126,115,106,107,87,94,108,101,97,97,84,80,85,91,89,84,70,68,82,62,63,55,50,48,45,41,45,50,49,39,30,36,24,29,21,20,13,14,17,12,13,3,12,4,9,6,5,5,2,4,7,4,4,8,2,7,4,6,2,4
MIROSLAW,M,14,13,22,27,34,37,63,73,74,82,74,82,64,82,71,71,45,52,51,49,27,25,29,23,32,26,33,15,21,16,14,15,12,14,8,4,6,3,6,1,5,2,1,1,1,,1,,3,1,,1,,,,,,,,,1,1,,,2,,1
